ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
West Midlands ,E06000021,Stoke-on-Trent,"2,792","2,798","2,851","2,935","3,080","3,250","3,495","3,673","3,828","3,960","4,224","4,175","4,219","4,367","4,496","4,653","4,718","4,847","4,878","5,246","5,620","5,806","5,742","6,387","6,349","7,020"
West Midlands ,E07000192,Cannock Chase,"1,083","1,092","1,128","1,193","1,262","1,317","1,368","1,456","1,483","1,519","1,567","1,452","1,493","1,535","1,581","1,638","1,716","1,824","1,856","2,075","2,173","2,154","1,979","2,207","2,276","2,526"
West Midlands ,E07000193,East Staffordshire,"2,207","2,224","2,285","2,316","2,467","2,597","2,835","2,966","3,018","3,026","3,157","2,868","3,086","3,245","3,286","3,351","3,367","3,502","3,532","3,408","3,522","3,704","3,350","3,915","4,096","4,422"
West Midlands ,E07000194,Lichfield,"1,149","1,183","1,209","1,267","1,359","1,445","1,531","1,583","1,639","1,675","1,771","1,672","1,721","1,739","1,846","1,918","2,037","2,246","2,323","2,416","2,328","2,446","2,371","2,747","2,900","3,114"
West Midlands ,E07000195,Newcastle-under-Lyme,"1,203","1,224","1,237","1,296","1,361","1,434","1,536","1,620","1,650","1,696","1,789","1,724","1,771","1,829","1,805","1,852","1,917","1,985","2,058","2,115","2,193","2,280","2,124","2,452","2,522","2,765"
West Midlands ,E07000196,South Staffordshire,962,976,998,"1,032","1,099","1,137","1,179","1,206","1,247","1,264","1,320","1,251","1,296","1,335","1,326","1,364","1,405","1,490","1,569","1,713","1,783","1,923","1,950","2,202","2,141","2,321"
West Midlands ,E07000197,Stafford,"1,659","1,643","1,699","1,776","1,870","1,977","2,034","2,095","2,193","2,279","2,414","2,381","2,479","2,518","2,563","2,669","2,790","2,859","3,029","3,156","3,204","3,277","3,143","3,554","3,572","3,812"
West Midlands ,E07000198,Staffordshire Moorlands,860,872,862,878,925,988,"1,047","1,073","1,117","1,152","1,203","1,103","1,167","1,209","1,224","1,358","1,400","1,346","1,339","1,449","1,544","1,540","1,437","1,696","1,729","1,882"
West Midlands ,E07000199,Tamworth,783,803,820,866,905,953,"1,012","1,059","1,080","1,111","1,147","1,075","1,104","1,129","1,083","1,093","1,158","1,280","1,343","1,502","1,646","1,668","1,592","1,953","1,978","1,994"
West Midlands ,E08000025,Birmingham,"13,640","14,052","14,449","15,293","15,911","16,834","17,769","18,714","19,185","20,129","20,507","20,326","20,952","21,332","21,812","22,982","23,927","24,736","26,003","26,693","27,784","28,374","26,806","29,031","31,839","35,427"
West Midlands ,E08000029,Solihull,"4,194","4,243","4,478","4,697","4,751","4,919","5,028","5,251","5,345","5,523","5,529","5,183","5,611","5,768","6,061","6,368","6,708","7,381","8,372","9,154","9,415","9,680","8,416","8,736","9,833","10,722"
West Midlands ,E08000026,Coventry,"4,947","5,056","5,192","5,439","5,523","5,769","6,033","6,395","6,469","6,812","7,076","7,067","7,438","7,581","7,736","7,957","8,586","9,128","10,016","9,861","10,003","10,191","9,453","10,120","10,807","11,804"
West Midlands ,E08000027,Dudley,"3,241","3,341","3,394","3,557","3,665","3,726","3,862","3,995","4,104","4,269","4,293","4,033","4,175","4,265","4,447","4,568","4,681","4,719","4,907","5,113","5,171","5,296","4,916","5,417","5,867","6,154"
West Midlands ,E08000028,Sandwell,"3,676","3,713","3,744","3,833","3,992","4,160","4,274","4,426","4,613","4,649","4,724","4,625","4,685","4,647","4,819","5,024","5,475","5,672","5,950","6,250","6,467","6,415","6,244","6,378","6,720","7,306"
West Midlands ,E08000030,Walsall,"2,635","2,693","2,729","2,806","2,884","3,004","3,143","3,283","3,337","3,449","3,509","3,309","3,466","3,665","3,816","4,080","4,359","4,444","4,672","4,739","4,721","4,686","4,291","4,784","5,073","5,506"
West Midlands ,E08000031,Wolverhampton,"3,011","3,125","3,215","3,374","3,509","3,626","3,731","3,918","4,034","4,164","4,255","4,035","4,117","4,269","4,235","4,295","4,377","4,219","4,535","4,867","5,138","5,273","4,925","5,489","5,977","6,440"
East ,E06000032,Luton,"2,828","2,934","3,196","3,362","3,450","3,610","3,642","3,789","3,911","4,134","4,363","4,071","4,103","4,096","4,250","4,704","5,229","5,446","5,532","5,830","5,904","6,141","5,258","5,534","6,150","6,639"
East ,E06000055,Bedford,"2,051","2,155","2,255","2,363","2,461","2,592","2,664","2,875","2,966","3,069","3,232","3,128","3,085","3,051","3,131","3,230","3,439","3,560","3,683","3,978","4,019","4,238","3,891","4,317","4,807","5,151"
East ,E06000056,Central Bedfordshire,"2,890","3,009","3,199","3,313","3,470","3,603","3,643","3,845","3,903","4,049","4,241","4,065","4,134","4,215","4,367","4,688","4,963","5,138","5,516","5,999","6,070","6,015","5,459","5,955","6,592","7,358"
East ,E07000095,Broxbourne,"1,355","1,460","1,531","1,592","1,626","1,736","1,746","1,892","1,998","2,121","2,363","2,247","2,149","2,128","2,241","2,334","2,454","2,403","2,196","2,265","2,300","2,287","2,135","2,306","2,378","2,554"
East ,E07000099,North Hertfordshire,"1,729","1,821","1,955","2,018","2,069","2,195","2,230","2,390","2,423","2,478","2,587","2,530","2,581","2,615","2,689","2,886","3,090","3,124","3,194","3,374","3,527","3,628","3,695","4,095","4,234","4,826"
East ,E07000241,Welwyn Hatfield,"2,340","2,532","2,632","2,761","2,893","3,056","3,170","3,458","3,495","3,606","3,718","3,483","3,384","3,201","3,225","3,495","3,728","3,779","3,865","4,324","4,673","5,540","5,582","6,026","6,057","6,544"
East ,E07000242,East Hertfordshire,"2,008","2,225","2,350","2,448","2,504","2,640","2,681","2,966","3,221","3,423","3,902","3,684","3,440","3,301","3,046","3,071","3,271","3,312","3,817","3,843","3,873","4,095","3,926","4,342","4,530","5,391"
East ,E07000243,Stevenage,"1,489","1,598","1,662","1,707","1,759","1,884","2,009","2,214","2,253","2,309","2,392","2,212","2,176","2,130","2,264","2,405","2,463","2,510","2,508","2,689","2,622","2,657","2,401","2,602","2,836","3,124"
East ,E07000096,Dacorum,"2,135","2,231","2,357","2,471","2,580","2,722","2,834","2,996","3,068","3,223","3,377","3,225","3,220","3,299","3,326","3,425","3,558","3,687","3,828","4,273","4,402","4,634","4,715","5,187","5,667","6,377"
East ,E07000098,Hertsmere,"1,890","1,983","2,033","2,147","2,151","2,283","2,393","2,601","2,628","2,770","2,933","2,963","2,864","2,860","2,977","3,192","3,393","3,477","3,792","4,169","4,213","4,289","4,138","4,885","5,071","5,220"
East ,E07000102,Three Rivers,"1,758","1,851","1,903","2,038","2,106","2,289","2,383","2,443","2,417","2,556","2,639","2,538","2,577","2,687","2,640","2,993","3,376","3,510","3,668","4,132","4,422","4,645","4,297","4,434","4,615","5,245"
East ,E07000103,Watford,"1,906","1,992","2,111","2,237","2,350","2,526","2,695","2,835","2,945","3,128","3,260","3,215","3,153","3,200","3,395","3,725","4,041","4,490","4,833","5,351","5,256","5,145","4,545","4,882","5,045","5,279"
East ,E07000240,St Albans,"1,934","2,007","2,170","2,243","2,351","2,437","2,582","2,750","2,799","2,927","3,048","2,876","2,937","2,948","2,980","3,123","3,321","3,817","3,979","4,179","4,277","4,454","4,251","4,552","5,014","5,179"
East ,E06000033,Southend-on-Sea,"1,525","1,578","1,648","1,762","1,843","1,994","2,089","2,157","2,292","2,378","2,465","2,472","2,491","2,492","2,577","2,601","2,693","2,713","2,822","3,041","3,152","3,079","2,728","3,073","3,163","3,421"
East ,E06000034,Thurrock,"2,098","2,067","2,093","2,242","2,269","2,594","2,682","2,841","2,941","3,053","3,102","3,060","3,129","2,977","3,094","3,009","3,240","3,485","3,560","4,030","4,246","4,357","4,122","4,676","5,490","6,041"
East ,E07000067,Braintree,"1,606","1,600","1,705","1,812","1,830","2,011","2,054","2,106","2,180","2,238","2,289","2,206","2,283","2,262","2,305","2,390","2,650","2,888","3,348","3,835","3,746","3,522","3,199","3,721","4,020","4,270"
East ,E07000071,Colchester,"1,984","2,013","2,146","2,323","2,391","2,600","2,660","2,782","2,894","3,017","3,118","3,116","3,244","3,314","3,491","3,522","3,665","3,899","4,030","4,308","4,535","4,748","4,284","4,748","5,184","5,874"
East ,E07000076,Tendring,"1,027","1,042","1,068","1,132","1,150","1,258","1,311","1,342","1,373","1,413","1,500","1,407","1,456","1,460","1,467","1,501","1,537","1,614","1,689","1,831","1,874","1,960","1,852","2,070","2,248","2,509"
East ,E07000072,Epping Forest,"1,634","1,711","1,793","1,949","2,075","2,263","2,313","2,372","2,514","2,636","2,691","2,665","2,774","2,750","2,749","2,738","2,875","3,206","3,525","3,848","3,983","4,007","3,545","3,979","4,266","4,433"
East ,E07000073,Harlow,"1,435","1,445","1,505","1,593","1,664","1,852","1,933","1,993","2,070","2,129","2,142","1,937","2,028","1,910","1,853","1,920","1,928","2,006","2,092","2,260","2,332","2,171","1,972","2,293","2,455","2,688"
East ,E07000077,Uttlesford,"1,088","1,153","1,230","1,295","1,348","1,467","1,485","1,534","1,571","1,625","1,693","1,651","1,722","1,721","1,788","1,943","1,979","2,064","2,133","2,253","2,329","2,453","2,164","2,510","2,843","3,254"
East ,E07000068,Brentwood,"1,288","1,303","1,411","1,548","1,593","1,724","1,730","1,810","1,895","1,998","2,040","1,991","2,038","2,034","1,931","2,011","2,437","2,832","2,914","3,165","3,303","3,373","2,800","3,051","3,368","3,470"
East ,E07000070,Chelmsford,"2,587","2,594","2,733","2,964","3,037","3,308","3,381","3,469","3,616","3,748","3,769","3,803","3,840","3,852","4,131","4,187","4,424","4,373","4,465","4,722","4,954","5,215","5,046","5,701","6,300","6,779"
East ,E07000074,Maldon,596,605,644,680,696,754,763,771,803,817,862,819,857,864,877,916,942,954,995,"1,089","1,093","1,133","1,075","1,180","1,299","1,369"
East ,E07000066,Basildon,"2,869","2,868","3,111","3,288","3,377","3,671","3,691","3,833","3,976","4,118","4,377","4,067","4,342","4,361","4,601","4,908","5,102","5,013","5,276","5,501","5,734","6,075","5,858","6,406","7,176","7,194"
East ,E07000069,Castle Point,523,536,564,602,618,673,673,697,717,751,779,751,768,775,793,812,858,893,902,963,993,"1,023",977,"1,085","1,221","1,282"
East ,E07000075,Rochford,658,677,712,743,744,799,800,826,854,869,905,862,867,873,938,992,"1,027","1,089","1,150","1,196","1,232","1,298","1,291","1,415","1,651","2,214"
East ,E06000031,Peterborough,"3,236","3,380","3,403","3,573","3,659","3,799","4,076","4,538","5,039","5,115","5,036","4,651","4,760","4,902","5,055","5,050","5,440","5,317","5,701","6,310","6,784","6,445","6,346","6,827","7,098","7,957"
East ,E07000008,Cambridge,"2,465","2,611","2,762","2,972","3,083","3,266","3,444","3,713","4,038","4,241","4,418","4,526","4,625","4,735","4,966","5,221","5,341","5,633","5,795","6,152","6,235","6,722","6,900","7,155","7,885","8,900"
East ,E07000009,East Cambridgeshire,980,996,"1,036","1,086","1,188","1,220","1,204","1,216","1,277","1,310","1,402","1,400","1,402","1,448","1,476","1,531","1,611","1,666","1,729","1,812","1,850","2,019","2,066","2,068","2,095","2,345"
East ,E07000010,Fenland,948,970,"1,033","1,082","1,153","1,201","1,218","1,246","1,296","1,339","1,396","1,411","1,453","1,499","1,545","1,629","1,672","1,672","1,679","1,750","1,732","1,794","1,767","1,926","2,044","2,267"
East ,E07000011,Huntingdonshire,"2,091","2,201","2,314","2,429","2,535","2,661","2,737","2,864","3,073","3,188","3,302","3,281","3,425","3,480","3,547","3,609","3,822","3,934","4,173","4,320","4,389","4,739","4,571","4,807","5,014","5,548"
East ,E07000012,South Cambridgeshire,"2,339","2,447","2,561","2,678","2,845","2,975","3,123","3,234","3,469","3,631","3,772","3,693","3,867","3,914","4,232","4,237","4,341","4,606","4,791","5,086","5,220","5,447","5,592","5,926","6,560","7,068"
East ,E07000144,Broadland,"1,225","1,219","1,296","1,358","1,463","1,567","1,594","1,634","1,796","1,913","2,112","2,325","2,308","2,231","2,337","2,509","2,498","2,643","2,873","3,299","3,116","3,967","3,644","4,144","4,418","4,961"
East ,E07000145,Great Yarmouth,939,961,"1,016","1,061","1,116","1,181","1,246","1,279","1,391","1,432","1,526","1,529","1,551","1,588","1,764","1,785","1,841","1,809","1,658","1,667","1,615","1,737","1,642","1,801","2,128","2,370"
East ,E07000148,Norwich,"1,846","1,946","2,074","2,195","2,275","2,396","2,534","2,750","2,995","3,066","3,086","3,084","3,106","3,180","3,322","3,551","3,704","3,751","3,793","4,025","3,996","4,221","3,969","4,079","4,378","4,808"
East ,E07000146,King's Lynn and West Norfolk,"1,711","1,761","1,846","1,889","1,975","2,085","2,091","2,170","2,252","2,319","2,436","2,456","2,470","2,536","2,659","2,758","2,818","2,840","2,933","2,954","2,990","3,105","3,025","3,123","3,350","3,622"
East ,E07000147,North Norfolk,869,890,941,979,"1,039","1,080","1,098","1,131","1,186","1,223","1,295","1,264","1,268","1,289","1,317","1,332","1,416","1,433","1,465","1,509","1,516","1,536","1,515","1,652","1,724","1,883"
East ,E07000143,Breckland,"1,138","1,189","1,271","1,352","1,419","1,475","1,508","1,566","1,698","1,745","1,828","1,843","1,861","1,918","1,931","2,012","2,117","2,191","2,274","2,322","2,321","2,480","2,512","2,693","2,871","3,188"
East ,E07000149,South Norfolk,"1,267","1,349","1,454","1,512","1,592","1,700","1,774","1,851","1,969","2,020","2,059","2,031","2,085","2,140","2,269","2,342","2,433","2,435","2,491","2,564","2,584","2,773","2,817","3,040","3,326","3,729"
East ,E07000200,Babergh,977,"1,017","1,071","1,121","1,165","1,202","1,220","1,240","1,312","1,349","1,383","1,349","1,420","1,442","1,466","1,504","1,582","1,598","1,627","1,652","1,641","1,748","1,725","1,874","1,999","2,167"
East ,E07000203,Mid Suffolk,"1,047","1,093","1,170","1,204","1,277","1,325","1,357","1,380","1,445","1,497","1,576","1,550","1,574","1,612","1,675","1,712","1,792","1,852","1,909","2,024","2,142","2,259","2,201","2,322","2,515","2,819"
East ,E07000202,Ipswich,"2,032","2,131","2,197","2,279","2,341","2,493","2,686","2,975","3,269","3,287","3,260","3,168","3,081","3,101","3,234","3,450","3,659","3,789","4,048","4,105","4,146","4,304","4,169","4,138","4,561","5,423"
East ,E07000244,East Suffolk,"2,704","2,822","2,993","3,078","3,236","3,427","3,533","3,724","3,888","3,991","4,068","3,930","4,003","4,141","4,299","4,459","4,556","4,569","4,630","4,873","4,966","5,356","5,089","5,500","6,106","6,438"
East ,E07000245,West Suffolk,"2,506","2,622","2,790","2,940","3,076","3,180","3,280","3,435","3,709","3,822","4,024","4,024","4,097","4,209","4,383","4,599","4,707","4,948","5,230","5,430","5,497","5,736","5,228","5,521","5,856","6,132"
London,E09000013,Hammersmith and Fulham,"3,597","3,898","4,189","4,438","4,610","4,884","5,123","5,432","5,449","5,971","6,409","6,277","6,416","6,765","7,394","7,942","8,692","9,201","9,469","10,123","10,854","11,639","11,128","11,338","11,775","13,707"
London,E09000020,Kensington and Chelsea,"3,814","4,060","4,370","4,582","4,724","4,868","5,161","5,473","5,714","6,356","6,830","6,388","6,540","6,992","8,090","8,909","9,564","9,647","9,672","9,693","10,463","9,897","8,533","9,017","11,022","11,570"
London,E09000032,Wandsworth,"2,997","3,275","3,508","3,748","3,918","4,066","4,232","4,568","4,781","5,215","5,386","5,148","5,197","5,446","5,980","6,289","6,790","7,202","7,397","7,281","7,426","7,402","6,638","6,951","7,734","8,693"
London,E09000001,City of London,"24,000","24,102","26,672","26,909","28,321","30,775","33,011","37,520","41,933","46,355","45,518","48,495","51,925","53,232","53,294","56,690","60,011","60,485","65,295","69,397","73,535","78,042","81,379","90,263","97,526","109,211"
London,E09000033,Westminster,"25,955","27,354","29,721","31,104","32,333","34,012","35,362","38,673","40,014","44,266","46,524","45,701","47,660","49,246","52,186","54,642","58,756","58,856","65,592","68,426","71,401","74,806","69,737","77,253","88,452","94,809"
London,E09000007,Camden,"10,267","10,938","11,891","12,460","12,867","13,737","14,783","15,977","16,507","18,083","18,771","18,683","19,110","19,954","20,732","22,346","24,640","28,572","32,148","33,564","34,697","34,900","29,340","32,781","37,779","40,213"
London,E09000012,Hackney,"2,476","2,647","2,862","3,022","3,144","3,344","3,502","3,802","3,967","4,297","4,479","4,434","4,627","4,928","5,075","5,325","5,880","6,160","6,539","7,092","7,974","9,141","9,123","10,092","11,758","13,386"
London,E09000025,Newham,"2,700","2,800","2,993","3,141","3,265","3,425","3,536","3,766","3,877","4,137","4,402","4,276","4,419","4,621","4,977","5,138","5,384","5,688","5,900","6,234","6,389","6,670","6,102","6,829","7,790","8,506"
London,E09000030,Tower Hamlets,"12,314","12,623","13,977","14,290","14,974","15,993","17,181","19,281","21,216","23,504","24,481","25,685","26,744","28,951","28,411","29,873","31,662","32,062","34,183","37,030","36,167","35,760","34,662","35,240","39,453","44,834"
London,E09000014,Haringey,"1,823","1,955","2,062","2,195","2,271","2,352","2,475","2,651","2,705","2,933","2,979","2,873","3,006","3,100","3,279","3,319","3,616","3,798","3,730","3,917","4,030","4,024","3,513","3,917","4,614","4,803"
London,E09000019,Islington,"7,353","7,732","8,566","8,816","9,143","9,667","10,186","10,898","11,406","12,605","13,382","13,329","13,836","14,529","14,963","16,207","17,358","18,244","18,676","18,878","19,861","20,295","18,693","20,304","24,774","26,337"
London,E09000023,Lewisham,"1,671","1,767","1,885","2,052","2,130","2,281","2,391","2,588","2,728","2,930","3,032","2,885","2,961","3,109","3,285","3,353","3,563","3,673","3,652","3,669","3,686","3,715","3,408","3,571","3,927","4,154"
London,E09000028,Southwark,"6,682","7,096","7,832","8,156","8,448","8,878","9,370","10,216","10,624","11,804","12,500","12,631","13,342","14,673","15,423","15,979","15,753","17,014","18,120","18,526","20,187","21,404","19,520","20,321","23,054","26,220"
London,E09000022,Lambeth,"4,699","5,043","5,534","5,921","6,011","6,364","6,742","7,385","7,531","8,435","8,995","8,811","9,498","10,096","10,305","9,787","11,107","11,546","12,194","12,476","12,835","12,743","11,160","12,635","14,958","15,388"
London,E09000004,Bexley,"3,070","3,238","3,371","3,515","3,648","3,840","3,939","4,177","4,403","4,633","4,759","4,529","4,614","4,643","5,025","5,565","5,671","5,904","6,291","6,090","6,116","6,328","5,615","5,855","6,247","6,695"
London,E09000011,Greenwich,"2,576","2,732","2,831","2,925","3,066","3,252","3,429","3,658","3,888","4,041","4,192","3,926","4,148","4,264","4,348","4,481","4,675","4,820","5,054","5,300","5,496","5,822","4,888","5,291","6,075","6,342"
London,E09000002,Barking and Dagenham,"2,342","2,296","2,276","2,266","2,244","2,312","2,422","2,446","2,691","2,830","2,923","2,721","3,004","3,058","3,227","3,524","3,562","3,486","3,373","3,333","3,405","3,477","2,863","3,311","3,774","4,107"
London,E09000016,Havering,"2,927","3,094","3,221","3,354","3,469","3,680","3,814","4,046","4,258","4,478","4,458","4,140","4,232","4,193","4,521","4,641","4,910","5,030","5,296","5,401","5,643","5,808","5,259","5,936","6,873","7,258"
London,E09000026,Redbridge,"2,553","2,711","2,836","2,933","3,075","3,266","3,444","3,627","3,850","4,004","4,034","3,728","3,794","3,832","4,142","4,221","4,327","4,596","4,762","4,847","4,951","4,881","4,238","4,740","5,421","5,915"
London,E09000031,Waltham Forest,"2,045","2,160","2,244","2,357","2,480","2,633","2,764","2,935","3,118","3,280","3,253","2,992","3,068","3,119","3,389","3,492","3,680","3,874","3,989","4,047","4,161","4,331","3,698","4,043","4,716","5,151"
London,E09000010,Enfield,"3,686","3,903","4,079","4,261","4,436","4,759","4,949","5,188","5,484","5,805","5,931","5,453","5,696","5,735","5,963","6,155","6,434","6,820","7,031","7,035","7,508","7,795","6,902","7,469","8,094","8,499"
London,E09000006,Bromley,"4,415","4,680","4,752","4,911","5,175","5,514","5,762","6,050","6,487","6,749","6,749","6,320","6,408","6,426","6,813","7,033","7,098","7,213","7,524","7,756","7,851","7,668","6,867","6,969","7,734","8,287"
London,E09000008,Croydon,"4,982","5,227","5,496","5,709","5,889","6,263","6,542","6,953","7,210","7,712","7,689","7,364","7,263","7,172","7,427","7,493","8,201","8,249","8,407","8,602","9,297","9,947","9,265","9,770","10,866","11,757"
London,E09000021,Kingston upon Thames,"2,628","2,790","2,944","3,040","3,144","3,322","3,501","3,671","3,862","4,125","4,208","3,984","3,983","4,015","4,140","4,126","4,452","4,518","5,033","5,012","5,108","5,189","4,508","4,332","4,885","5,385"
London,E09000024,Merton,"3,113","3,316","3,461","3,555","3,597","3,740","3,864","4,079","4,254","4,504","4,549","4,202","4,300","4,353","4,607","4,909","5,254","5,385","5,519","5,395","5,437","5,621","5,025","5,464","5,869","6,533"
London,E09000029,Sutton,"2,417","2,554","2,713","2,796","2,883","3,036","3,156","3,339","3,509","3,724","3,759","3,477","3,530","3,529","3,704","3,745","3,919","3,910","4,074","4,135","4,091","4,195","3,814","4,084","4,621","5,161"
London,E09000003,Barnet,"4,149","4,455","4,637","4,809","5,015","5,309","5,506","5,776","6,164","6,460","6,485","6,182","6,270","6,374","6,929","7,169","7,654","7,932","8,261","8,236","8,545","8,743","8,312","8,807","10,097","10,639"
London,E09000005,Brent,"4,042","4,375","4,603","4,759","4,920","5,084","5,187","5,498","5,841","6,081","6,139","5,782","5,889","5,992","6,503","6,899","7,519","7,964","8,281","8,346","8,391","8,853","8,063","8,300","9,295","10,087"
London,E09000009,Ealing,"4,741","5,044","5,271","5,460","5,612","5,893","6,070","6,328","6,678","7,021","7,099","6,640","6,754","6,918","7,467","7,992","8,593","8,985","9,374","9,089","9,233","9,211","8,754","8,728","9,515","9,795"
London,E09000015,Harrow,"2,623","2,785","2,870","2,971","3,114","3,334","3,462","3,602","3,782","4,013","4,039","3,743","3,853","3,930","4,052","4,191","4,540","4,778","4,970","5,013","5,136","5,203","4,639","4,935","5,361","5,865"
London,E09000017,Hillingdon,"8,606","9,070","9,520","9,592","9,747","10,196","10,547","10,964","11,143","11,483","11,504","10,420","10,736","11,187","11,272","11,935","13,175","13,408","13,167","13,805","14,162","14,351","10,698","10,676","12,836","13,866"
London,E09000018,Hounslow,"6,282","6,737","7,278","7,594","7,859","8,088","8,247","8,731","9,835","10,643","11,443","11,179","11,531","11,753","12,771","13,604","14,738","15,478","16,350","16,418","16,170","16,845","12,859","12,509","15,391","16,274"
London,E09000027,Richmond upon Thames,"3,276","3,477","3,675","3,791","3,870","4,050","4,226","4,456","4,707","5,007","5,031","4,847","4,798","4,919","5,284","5,542","5,754","6,114","6,504","6,869","7,592","7,551","6,546","6,734","7,485","7,692"
South East ,E06000042,Milton Keynes,"5,154","5,345","5,697","6,077","6,537","7,108","7,089","7,465","7,852","8,278","8,577","8,267","8,672","9,009","9,242","9,793","10,909","12,189","11,987","13,012","13,511","13,875","13,379","14,256","15,817","16,763"
South East ,E06000060,Buckinghamshire,"8,264","8,660","9,085","9,415","9,699","10,171","10,288","10,867","11,202","11,722","12,416","12,132","12,230","12,690","12,976","13,388","13,786","13,902","14,210","14,409","14,945","16,140","15,815","16,715","17,677","19,176"
South East ,E07000177,Cherwell,"2,442","2,538","2,668","2,728","2,847","2,951","2,977","3,090","3,156","3,313","3,540","3,415","3,515","3,607","3,744","3,905","4,192","4,268","4,377","4,478","4,683","5,020","5,103","5,176","5,549","6,086"
South East ,E07000178,Oxford,"2,595","2,732","2,940","3,109","3,398","3,652","3,786","3,920","4,084","4,250","4,613","4,586","4,796","4,945","5,108","5,314","5,759","5,894","5,988","6,032","6,313","6,847","7,066","7,486","8,372","8,600"
South East ,E07000179,South Oxfordshire,"2,180","2,276","2,338","2,317","2,473","2,606","2,593","2,729","2,783","2,919","3,029","2,916","3,032","3,153","3,184","3,401","3,570","3,865","3,555","3,724","3,864","4,285","4,625","4,638","4,822","5,051"
South East ,E07000180,Vale of White Horse,"2,207","2,283","2,376","2,429","2,550","2,708","2,730","2,907","2,996","3,149","3,353","3,325","3,438","3,559","3,788","3,928","3,881","4,025","3,944","4,131","4,329","4,394","4,802","4,832","5,554","5,893"
South East ,E07000181,West Oxfordshire,"1,469","1,489","1,556","1,601","1,709","1,764","1,759","1,830","1,898","2,002","2,167","2,080","2,136","2,223","2,305","2,385","2,499","2,545","2,624","2,694","2,855","3,046","3,030","3,068","3,372","3,699"
South East ,E06000036,Bracknell Forest,"2,685","2,829","2,934","3,061","3,251","3,491","3,457","3,611","3,736","3,964","4,146","4,042","4,201","4,375","4,546","4,596","4,702","5,061","4,862","5,128","5,237","5,282","4,915","5,158","5,223","5,525"
South East ,E06000039,Slough,"4,461","4,812","5,216","5,315","5,552","5,901","6,032","6,298","6,508","6,759","7,022","6,949","7,020","7,373","7,345","7,566","7,847","7,715","7,886","7,842","8,177","8,683","9,286","9,547","9,922","10,832"
South East ,E06000040,Windsor and Maidenhead,"3,370","3,565","3,726","3,840","3,997","4,315","4,354","4,616","4,734","4,974","5,207","5,157","5,251","5,496","5,740","6,153","6,163","6,493","6,986","7,676","7,746","7,637","7,415","7,712","7,933","8,126"
South East ,E06000037,West Berkshire,"3,655","3,954","4,196","4,223","4,359","4,557","4,730","5,058","5,299","5,504","5,718","5,605","5,663","5,937","6,380","6,588","6,560","7,067","7,099","7,082","7,478","8,290","8,795","8,621","8,357","9,480"
South East ,E06000038,Reading,"3,618","3,947","4,293","4,289","4,362","4,662","4,961","5,325","5,520","5,753","6,046","6,160","6,130","6,366","6,739","6,890","7,368","7,370","7,722","7,682","8,494","8,619","8,311","8,905","9,757","11,008"
South East ,E06000041,Wokingham,"2,839","3,023","3,115","3,225","3,408","3,794","3,923","4,190","4,429","4,755","4,851","4,808","4,905","5,119","5,344","5,083","5,604","5,711","6,006","6,398","7,113","8,053","8,479","8,873","9,260","10,304"
South East ,E06000043,Brighton and Hove,"3,347","3,569","3,751","4,020","4,186","4,346","4,510","4,841","5,214","5,398","5,694","5,744","5,746","5,861","6,342","6,743","7,054","7,323","7,734","8,098","8,442","8,879","8,710","9,461","10,919","12,213"
South East ,E07000061,Eastbourne,915,972,"1,022","1,075","1,135","1,197","1,231","1,309","1,375","1,419","1,507","1,472","1,482","1,512","1,509","1,532","1,580","1,583","1,761","1,831","1,839","1,950","1,956","2,071","2,170","2,339"
South East ,E07000062,Hastings,747,772,794,827,881,919,962,995,"1,040","1,061","1,156","1,144","1,163","1,211","1,206","1,215","1,289","1,364","1,477","1,491","1,503","1,569","1,516","1,641","1,702","1,891"
South East ,E07000063,Lewes,899,945,998,"1,061","1,091","1,138","1,154","1,215","1,258","1,296","1,381","1,332","1,337","1,331","1,351","1,401","1,466","1,586","1,642","1,725","1,824","1,905","1,923","1,934","2,166","2,425"
South East ,E07000064,Rother,678,715,744,784,816,853,872,923,968,"1,000","1,065","1,025","1,006","1,003","1,002","1,051","1,114","1,218","1,272","1,239","1,241","1,317","1,317","1,473","1,535","1,666"
South East ,E07000065,Wealden,"1,371","1,453","1,512","1,562","1,620","1,662","1,671","1,757","1,829","1,875","2,026","1,910","1,952","1,959","1,981","2,022","2,153","2,311","2,385","2,455","2,527","2,601","2,507","2,766","2,971","3,255"
South East ,E07000207,Elmbridge,"2,466","2,636","2,811","2,906","2,909","2,991","3,060","3,168","3,382","3,476","3,626","3,484","3,554","3,711","3,805","3,967","4,784","5,437","5,700","6,002","6,318","6,879","6,773","6,799","6,683","7,581"
South East ,E07000209,Guildford,"2,653","2,822","2,986","3,059","3,156","3,254","3,334","3,498","3,701","3,833","4,083","4,071","4,220","4,205","4,339","4,495","4,513","4,890","4,898","4,883","5,160","5,567","5,523","5,992","6,323","6,688"
South East ,E07000212,Runnymede,"2,366","2,553","2,664","2,812","2,963","3,106","3,153","3,235","3,476","3,683","4,034","4,147","4,184","4,186","4,614","4,951","5,322","5,290","5,607","6,094","6,137","6,508","6,999","6,293","7,285","7,511"
