ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North West ,E06000009,Blackpool,"1,275","1,309","1,339","1,406","1,485","1,614","1,740","1,816","1,867","1,906","1,917","1,848","1,932","1,943","2,008","2,053","2,115","2,230","2,370","2,513","2,614","2,847","2,667","2,807","3,147","3,310"
North West ,E07000121,Lancaster,"1,520","1,558","1,507","1,533","1,645","1,845","1,988","2,169","2,329","2,425","2,452","2,208","2,178","2,187","2,283","2,437","2,460","2,622","2,628","2,675","2,684","2,848","2,884","2,946","3,305","3,831"
North West ,E07000128,Wyre,836,864,889,914,962,"1,056","1,103","1,122","1,139","1,159","1,211","1,162","1,186","1,215","1,257","1,309","1,357","1,585","1,626","1,627","1,688","1,771","1,607","1,759","1,944","2,063"
North West ,E07000119,Fylde,"1,712","1,850","1,967","2,088","2,104","2,293","2,516","2,640","2,650","2,749","2,805","2,559","2,478","2,472","2,487","2,523","2,312","2,467","2,676","2,798","2,587","2,678","2,482","2,695","3,033","3,320"
North West ,E07000123,Preston,"2,214","2,315","2,373","2,479","2,653","2,857","3,028","3,117","3,224","3,381","3,334","3,357","3,482","3,497","3,705","3,640","3,801","4,000","4,290","4,312","4,356","4,524","4,181","4,633","5,091","5,597"
North West ,E07000124,Ribble Valley,"1,017","1,082","1,119","1,172","1,209","1,312","1,414","1,458","1,475","1,507","1,538","1,381","1,372","1,464","1,529","1,680","1,745","1,807","1,731","1,775","1,756","1,621","1,787","2,106","2,119","2,221"
North West ,E07000126,South Ribble,"1,894","1,925","1,999","2,026","2,136","2,312","2,414","2,455","2,443","2,651","2,727","2,561","2,598","2,672","2,779","2,933","3,188","3,366","3,526","3,633","3,567","3,667","3,780","4,182","4,457","4,754"
North West ,E07000117,Burnley,992,"1,041","1,063","1,092","1,122","1,205","1,262","1,311","1,361","1,428","1,455","1,404","1,470","1,511","1,594","1,597","1,700","1,704","1,804","1,888","2,029","2,007","1,953","2,132","2,342","2,356"
North West ,E07000120,Hyndburn,796,838,819,843,878,914,961,995,"1,019","1,083","1,124","1,077","1,118","1,157","1,225","1,253","1,289","1,329","1,451","1,462","1,333","1,425","1,336","1,494","1,594","1,758"
North West ,E07000122,Pendle,"1,054","1,132","1,156","1,190","1,210","1,301","1,374","1,440","1,466","1,491","1,478","1,306","1,321","1,390","1,432","1,409","1,461","1,494","1,597","1,668","1,775","1,775","1,614","1,773","1,794","1,990"
North West ,E07000125,Rossendale,612,628,639,648,682,732,759,773,789,823,836,818,844,867,856,889,951,"1,011","1,005","1,009",993,"1,043",952,"1,079","1,164","1,289"
North West ,E07000118,Chorley,969,"1,006","1,054","1,111","1,189","1,272","1,329","1,354","1,383","1,457","1,512","1,470","1,538","1,546","1,587","1,602","1,658","1,737","1,844","1,876","1,960","2,191","2,051","2,374","2,516","2,790"
North West ,E07000127,West Lancashire,"1,267","1,302","1,314","1,352","1,432","1,526","1,618","1,630","1,666","1,755","1,815","1,821","1,888","1,919","1,934","1,962","2,103","2,148","2,378","2,511","2,577","2,718","2,646","2,919","3,228","3,635"
North West ,E06000007,Warrington,"3,632","3,689","3,872","4,257","4,441","4,590","4,741","5,053","5,292","5,585","5,545","5,285","5,405","5,510","5,683","5,984","6,330","6,687","6,966","7,540","7,612","8,142","8,108","8,520","9,364","10,470"
North West ,E06000049,Cheshire East,"5,940","6,218","6,458","7,542","7,771","7,484","8,357","8,884","9,575","9,769","9,700","9,452","9,837","10,303","10,864","11,154","11,826","12,344","13,371","13,343","13,775","14,237","13,770","13,810","15,524","16,927"
North West ,E06000050,Cheshire West and Chester,"4,890","5,270","5,213","5,724","5,829","6,240","6,426","6,704","7,230","7,760","7,861","8,187","8,642","8,514","8,675","9,023","9,497","9,235","9,598","10,436","10,645","11,307","10,514","11,715","12,894","14,193"
North West ,E06000006,Halton,"2,218","2,320","2,427","2,482","2,574","2,792","2,818","2,964","3,226","3,115","3,353","3,416","3,477","3,514","3,336","3,492","3,719","3,855","3,846","3,954","4,105","4,285","3,957","4,259","4,670","5,173"
North West ,E08000011,Knowsley,"1,668","1,682","1,689","1,811","1,868","1,994","2,067","2,061","2,185","2,274","2,381","2,338","2,480","2,550","2,658","2,895","3,044","3,170","3,402","3,622","3,507","3,707","3,537","3,938","4,163","4,562"
North West ,E08000013,St. Helens,"1,599","1,735","1,809","1,908","2,019","2,117","2,206","2,273","2,428","2,508","2,526","2,495","2,555","2,516","2,444","2,482","2,593","2,645","2,687","2,684","2,718","2,797","2,623","2,908","2,995","3,156"
North West ,E08000012,Liverpool,"5,968","6,289","6,657","7,095","7,517","8,274","8,816","9,315","10,180","10,147","10,701","11,209","11,226","11,291","11,087","11,225","11,779","12,110","12,318","12,809","12,955","14,077","13,715","15,236","16,846","18,431"
North West ,E08000014,Sefton,"2,141","2,288","2,357","2,514","2,685","2,855","3,002","3,090","3,285","3,328","3,457","3,506","3,525","3,431","3,429","3,482","3,625","3,748","3,900","4,040","4,103","4,182","4,186","4,699","4,991","5,368"
North West ,E08000015,Wirral,"2,581","2,764","2,846","3,016","3,190","3,423","3,649","3,716","3,941","3,995","4,137","4,166","4,162","4,185","4,243","4,327","4,515","4,750","4,697","4,884","4,925","5,241","5,234","5,441","5,979","6,625"
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of","3,023","3,104","3,304","3,472","3,716","3,996","4,096","4,292","4,711","4,941","5,472","5,482","5,213","5,025","5,097","5,090","5,132","5,386","5,536","5,761","5,943","6,044","5,423","6,367","6,713","7,403"
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,"3,742","3,714","3,869","4,063","4,385","4,663","5,007","5,134","5,430","5,510","5,597","5,352","5,193","5,216","5,370","5,525","5,808","6,054","6,134","6,399","6,830","7,139","6,947","8,048","8,621","9,375"
Yorkshire and The Humber,E06000012,North East Lincolnshire,"1,742","1,788","1,858","1,947","2,018","2,120","2,194","2,290","2,406","2,577","2,628","2,611","2,547","2,644","2,669","2,755","2,939","3,063","3,039","3,121","3,098","3,250","3,320","3,750","3,851","4,253"
Yorkshire and The Humber,E06000013,North Lincolnshire,"2,276","2,221","2,315","2,416","2,480","2,798","3,010","3,156","3,087","3,522","3,802","3,442","3,671","3,372","3,382","3,467","3,519","3,909","4,013","4,347","4,254","5,040","4,400","5,640","5,820","5,577"
Yorkshire and The Humber,E06000014,York,"3,200","3,338","3,496","3,769","4,169","4,463","4,705","4,867","4,950","5,191","5,204","5,051","5,149","5,249","5,374","5,404","5,523","5,640","5,817","6,210","6,350","6,405","5,904","6,756","7,705","8,511"
Yorkshire and The Humber,E06000065,North Yorkshire,"7,392","7,540","7,900","8,294","9,058","9,543","9,932","10,213","10,760","11,391","11,686","11,394","11,326","11,765","12,074","12,599","12,860","13,097","13,512","14,431","14,484","15,200","14,623","16,486","18,057","19,945"
Yorkshire and The Humber,E08000019,Sheffield,"6,524","6,577","6,877","7,506","8,018","8,576","9,092","9,529","10,087","10,736","10,603","10,671","10,886","11,151","11,357","11,682","11,916","12,205","12,318","12,488","12,560","13,154","13,227","14,218","15,727","17,295"
Yorkshire and The Humber,E08000016,Barnsley,"1,961","1,956","2,023","2,131","2,222","2,368","2,530","2,629","2,748","2,959","2,899","2,791","2,885","2,971","3,086","3,207","3,350","3,428","3,488","3,655","3,817","3,975","3,888","4,192","4,687","5,052"
Yorkshire and The Humber,E08000018,Rotherham,"2,435","2,441","2,537","2,676","2,829","2,999","3,110","3,253","3,377","3,635","3,638","3,483","3,627","3,721","3,981","3,979","4,093","4,264","4,356","4,574","4,611","4,764","4,606","4,880","5,331","5,606"
Yorkshire and The Humber,E08000017,Doncaster,"2,622","2,653","2,741","2,889","3,048","3,247","3,483","3,599","3,837","4,108","4,117","3,908","4,021","4,037","4,142","4,241","4,490","4,835","4,957","5,477","5,538","5,722","5,671","5,989","6,713","7,191"
Yorkshire and The Humber,E08000032,Bradford,"5,228","5,497","5,555","5,773","5,962","6,282","6,618","6,984","7,228","7,605","7,872","7,802","7,792","8,063","8,203","8,389","8,490","8,800","9,017","9,470","9,596","9,720","9,664","10,416","11,129","11,745"
Yorkshire and The Humber,E08000035,Leeds,"12,317","13,113","13,505","14,072","14,774","16,033","17,289","18,577","19,757","20,858","20,758","20,706","21,054","21,419","21,873","22,477","23,122","23,967","24,230","24,951","26,458","27,391","25,938","28,823","33,073","36,554"
Yorkshire and The Humber,E08000033,Calderdale,"2,164","2,264","2,288","2,393","2,439","2,615","2,777","3,058","3,236","3,387","3,249","3,165","3,244","3,336","3,424","3,568","4,109","4,552","4,550","4,938","5,270","5,277","5,012","5,640","5,378","5,845"
Yorkshire and The Humber,E08000034,Kirklees,"3,973","4,152","4,224","4,340","4,432","4,663","4,821","5,075","5,243","5,522","5,618","5,512","5,558","5,669","5,823","5,938","6,171","6,525","6,660","7,118","7,440","7,503","7,264","7,900","8,522","9,223"
Yorkshire and The Humber,E08000036,Wakefield,"4,031","4,232","4,365","4,546","4,699","4,940","5,123","5,361","5,538","5,718","5,855","5,774","5,661","5,762","5,916","6,110","6,120","6,567","6,819","7,082","7,545","7,921","7,681","8,270","9,355","10,250"
East Midlands ,E06000015,Derby,"3,773","4,016","4,181","4,392","4,636","4,795","5,190","5,682","5,854","5,998","6,127","6,003","6,079","6,399","6,529","6,799","6,643","6,636","6,702","6,695","7,167","7,459","7,788","8,200","8,462","9,226"
East Midlands ,E07000033,Bolsover,"1,027","1,034","1,046","1,089","1,092","1,095","1,135","1,209","1,238","1,288","1,365","1,337","1,373","1,371","1,429","1,457","1,463","1,655","1,741","1,847","1,975","2,014","2,047","2,178","2,365","2,481"
East Midlands ,E07000034,Chesterfield,"1,143","1,172","1,206","1,283","1,350","1,388","1,477","1,590","1,631","1,707","1,746","1,700","1,790","1,786","1,908","1,957","2,026","2,151","2,193","2,276","2,347","2,402","2,555","2,770","2,973","3,074"
East Midlands ,E07000038,North East Derbyshire,736,774,785,804,831,869,897,963,974,"1,001","1,045",991,"1,021","1,070","1,081","1,137","1,236","1,344","1,334","1,332","1,396","1,467","1,493","1,608","1,745","1,820"
East Midlands ,E07000032,Amber Valley,"1,513","1,533","1,511","1,542","1,604","1,644","1,721","1,846","1,900","1,974","2,038","1,920","2,014","2,038","2,141","2,232","2,345","2,411","2,448","2,496","2,577","2,750","2,775","2,892","3,119","3,456"
East Midlands ,E07000035,Derbyshire Dales,858,890,900,941,966,"1,000","1,058","1,123","1,140","1,177","1,220","1,163","1,234","1,259","1,341","1,358","1,346","1,356","1,420","1,451","1,554","1,554","1,523","1,625","1,823","1,953"
East Midlands ,E07000036,Erewash,844,869,876,924,959,985,"1,033","1,109","1,159","1,195","1,227","1,165","1,226","1,287","1,333","1,420","1,431","1,470","1,539","1,610","1,651","1,775","1,735","1,816","1,941","2,084"
East Midlands ,E07000037,High Peak,907,923,931,960,995,"1,034","1,077","1,134","1,141","1,157","1,191","1,109","1,127","1,172","1,218","1,221","1,277","1,352","1,405","1,456","1,486","1,487","1,466","1,556","1,760","1,796"
East Midlands ,E07000039,South Derbyshire,"1,310","1,321","1,314","1,315","1,384","1,479","1,545","1,690","1,639","1,660","1,756","1,614","1,885","1,938","2,015","2,336","2,425","2,367","2,561","2,628","2,754","3,206","3,104","3,147","2,855","3,112"
East Midlands ,E06000018,Nottingham,"4,559","4,741","4,822","5,111","5,411","5,757","6,297","6,657","7,128","7,393","7,609","7,574","7,883","8,220","8,458","8,591","9,175","9,342","9,665","10,130","10,317","10,456","10,146","10,516","11,714","12,900"
East Midlands ,E07000170,Ashfield,"1,743","1,735","1,749","1,777","1,853","1,854","1,962","2,074","2,156","2,239","2,296","2,228","2,312","2,320","2,364","2,462","2,537","2,570","2,570","2,626","2,706","2,791","2,700","2,859","2,986","3,263"
East Midlands ,E07000171,Bassetlaw,"1,184","1,252","1,279","1,311","1,371","1,426","1,503","1,557","1,612","1,665","1,702","1,677","1,743","1,790","1,864","1,921","1,936","2,008","2,048","2,083","2,166","2,278","2,362","2,430","2,678","2,884"
